Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
AT1G01740	AT1G01740	Chr1	-	272111	274569	12.809651	5.476999	11.405983
AT1G01750	AT1G01750	Chr1	+	275366	276310	6.111606	2.582323	5.377750
AT1G01760	AT1G01760	Chr1	-	276266	278448	12.086465	5.106866	10.635173
AT1G01770	AT1G01770	Chr1	+	278615	282891	20.089523	8.488381	17.677259
AT1G01780	AT1G01780	Chr1	+	282761	284245	24.627506	10.405805	21.670340
AT1G01790	AT1G01790	Chr1	+	284610	291094	53.067749	22.422592	46.695591
AT1G01810	AT1G01810	Chr1	+	295221	295859	3.291080	1.390573	2.895901
AT1G01800	AT1G01800	Chr1	+	293342	295040	47.763126	20.253988	42.179420
AT1G01820	AT1G01820	Chr1	-	296001	298120	86.567909	36.577343	76.173203
AT1G01830	AT1G01830	Chr1	-	298535	302315	20.534294	9.108595	18.968868
AT1G01840	AT1G01840	Chr1	+	303537	304358	0.000000	0.000000	0.000000
AT1G01860	AT1G01860	Chr1	-	304133	306287	28.357723	11.981925	24.952648
AT1G01880	AT1G01880	Chr1	-	306480	309109	11.843689	5.004618	10.422238
AT1G01920	AT1G01920	Chr1	+	316128	319650	33.160454	14.634941	30.477617
AT1G01900	AT1G01900	Chr1	+	310316	313130	6.160162	2.602839	5.420475
AT1G01910	AT1G01910	Chr1	-	313101	315902	74.756592	34.513065	71.874290
AT1G01930	AT1G01930	Chr1	-	319836	322860	20.601900	8.704874	18.128111
AT1G01940	AT1G01940	Chr1	+	323027	324917	50.118385	21.176409	44.100384
AT1G01980	AT1G01980	Chr1	-	340172	341999	0.018600	0.007859	0.016367
AT1G01970	AT1G01970	Chr1	+	338291	340077	35.568794	15.028802	31.297844
AT1G01990	AT1G01990	Chr1	-	343166	344341	0.000000	0.000000	0.000000
AT1G02000	AT1G02000	Chr1	+	345812	347592	8.133071	3.436448	7.156486
AT1G01950	AT1G01950	Chr1	+	325379	330619	21.603128	9.332479	19.435114
AT1G01960	AT1G01960	Chr1	-	330588	337582	26.985115	11.401958	23.744856
AT1G02010	AT1G02010	Chr1	+	347891	352480	9.510553	4.018473	8.368566
AT1G02030	AT1G02030	Chr1	-	355321	357258	0.000000	0.000000	0.000000
AT1G02020	AT1G02020	Chr1	-	352637	354969	6.177668	2.696921	5.616402
AT1G02070	AT1G02070	Chr1	-	370257	370967	2.552980	1.078705	2.246429
AT1G02074	AT1G02074	Chr1	+	372064	372210	0.000000	0.000000	0.000000
AT1G02065	AT1G02065	Chr1	+	365209	367340	9.955631	5.236035	10.904169
AT1G02040	AT1G02040	Chr1	-	358104	359078	0.000000	0.000000	0.000000
AT1G02050	AT1G02050	Chr1	-	359117	360518	0.000000	0.000000	0.000000
AT1G02060	AT1G02060	Chr1	-	360918	363094	0.000000	0.000000	0.000000
AT1G02080	AT1G02080	Chr1	+	373335	386847	40.748695	17.389963	36.215023
AT1G02090	AT1G02090	Chr1	-	387277	389647	63.340874	39.091469	81.408928
AT1G02130	AT1G02130	Chr1	-	400035	401882	135.786972	57.373760	119.482246
AT1G02100	AT1G02100	Chr1	+	389812	392816	49.691708	21.464495	44.700329
AT1G02110	AT1G02110	Chr1	+	392831	395528	47.178551	19.934246	41.513550
AT1G02120	AT1G02120	Chr1	+	395761	399897	38.347107	16.202717	33.742550
AT1G02140	AT1G02140	Chr1	-	403190	404456	272.163910	114.996803	239.483612
AT1G02170	AT1G02170	Chr1	+	411779	413554	22.194790	9.377914	19.529734
AT1G02180	AT1G02180	Chr1	-	413522	414645	10.424167	4.404500	9.172477
AT1G02190	AT1G02190	Chr1	+	415079	418010	5.170501	2.184680	4.549649
AT1G02145	AT1G02145	Chr1	+	404600	408619	32.763081	14.367926	29.921553
AT1G02150	AT1G02150	Chr1	+	408622	410611	238.510941	100.777489	209.871552
AT1G02160	AT1G02160	Chr1	+	410748	411597	93.770332	45.195663	94.121063
AT1G02230	AT1G02230	Chr1	-	435174	436776	0.118268	0.049972	0.104067
AT1G02250	AT1G02250	Chr1	-	437951	439559	0.092746	0.039188	0.081609
AT1G02260	AT1G02260	Chr1	-	440441	442877	23.087957	9.755302	20.315653
AT1G02270	AT1G02270	Chr1	-	443149	446235	26.270517	11.100022	23.116064
AT1G02205	AT1G02205	Chr1	+	418748	422438	286.927246	130.524902	271.821289
AT1G02300	AT1G02300	Chr1	+	453288	455463	22.163233	9.364580	19.501965
AT1G02305	AT1G02305	Chr1	+	455688	458164	38.330585	16.195734	33.728008
AT1G02310	AT1G02310	Chr1	-	458133	460696	0.141406	0.059748	0.124427
AT1G02280	AT1G02280	Chr1	-	448463	450426	457.411621	193.669052	403.320496
AT1G02290	AT1G02290	Chr1	-	450527	452737	22.546341	9.526455	19.839071
AT1G02335	AT1G02335	Chr1	-	463855	464924	5.801682	2.451371	5.105041
AT1G02340	AT1G02340	Chr1	-	465718	467844	1.442538	0.609512	1.269324
AT1G02360	AT1G02360	Chr1	-	471990	473160	0.151335	0.063943	0.133163
AT1G02350	AT1G02350	Chr1	+	469818	470693	11.474442	4.848269	10.096640
AT1G02330	AT1G02330	Chr1	-	462075	463612	82.359261	34.799072	72.469910
AT1G02390	AT1G02390	Chr1	+	480852	483292	0.410385	0.173399	0.361108
AT1G02380	AT1G02380	Chr1	+	477000	478971	8.374790	3.538581	7.369181
AT1G02400	AT1G02400	Chr1	+	486801	489577	2.442662	1.032092	2.149357
AT1G02370	AT1G02370	Chr1	+	474500	476511	0.000000	0.000000	0.000000
AT1G02440	AT1G02440	Chr1	-	496586	497479	0.069808	0.029496	0.061426
AT1G02410	AT1G02410	Chr1	+	490925	492926	43.099533	18.210749	37.924320
AT1G02460	AT1G02460	Chr1	-	504673	507204	1.029917	0.435168	0.906249
AT1G02420	AT1G02420	Chr1	+	493683	495158	0.000000	0.000000	0.000000
AT1G02430	AT1G02430	Chr1	-	495050	496062	8.660372	3.659247	7.620471
AT1G02490	AT1G02490	Chr1	+	516618	516734	0.000000	0.000000	0.000000
AT1G02470	AT1G02470	Chr1	-	511765	513624	1.018719	0.431930	0.899504
AT1G02475	AT1G02475	Chr1	-	513843	515404	44.659317	18.869799	39.296810
AT1G02530	AT1G02530	Chr1	+	529795	534677	0.176838	0.074719	0.155604
AT1G02520	AT1G02520	Chr1	+	523651	528745	0.192198	0.081209	0.169120
AT1G02500	AT1G02500	Chr1	+	518251	520437	20.710390	8.767872	18.259306
AT1G02570	AT1G02570	Chr1	+	541335	542240	0.219647	0.092807	0.193273
AT1G02650	AT1G02650	Chr1	+	568704	570418	0.644617	0.272369	0.567214
AT1G02640	AT1G02640	Chr1	+	564205	567769	3.111883	1.314857	2.738221
AT1G02660	AT1G02660	Chr1	-	571955	574981	2.297796	0.970883	2.021886
AT1G02670	AT1G02670	Chr1	+	576046	580299	10.278427	4.342920	9.044237
AT1G02680	AT1G02680	Chr1	+	580625	582310	54.432739	22.999344	47.896690
AT1G02681	AT1G02681	Chr1	+	582413	582922	0.125490	0.053023	0.110422
AT1G02560	AT1G02560	Chr1	+	537860	540109	526.255554	222.357559	463.065002
AT1G02700	AT1G02700	Chr1	+	588329	589480	0.195146	0.082455	0.171714
AT1G02710	AT1G02710	Chr1	-	589706	589996	0.000000	0.000000	0.000000
AT1G02690	AT1G02690	Chr1	+	584260	587219	57.336311	24.263702	50.529747
AT1G02720	AT1G02720	Chr1	+	591826	594236	24.978748	10.943272	22.789627
AT1G02740	AT1G02740	Chr1	-	599416	602038	19.565125	8.266808	17.215826
AT1G02770	AT1G02770	Chr1	-	604873	606693	0.061094	0.025814	0.053758
AT1G02750	AT1G02750	Chr1	+	602497	604292	7.427211	3.138202	6.535383
AT1G02730	AT1G02730	Chr1	-	594573	598657	49.987152	21.120958	43.984905
AT1G02810	AT1G02810	Chr1	+	618265	620480	0.955929	0.403906	0.841145
AT1G02800	AT1G02800	Chr1	-	613216	616191	26.225058	11.080813	23.076061
AT1G02820	AT1G02820	Chr1	-	623765	624475	1.757724	0.742687	1.546664
AT1G02816	AT1G02816	Chr1	+	621461	622469	11.681864	4.935911	10.279155
AT1G02840	AT1G02840	Chr1	+	626741	629819	182.923065	96.054886	200.036636
AT1G02860	AT1G02860	Chr1	+	635144	637262	4.259064	1.799573	3.747653
AT1G02870	AT1G02870	Chr1	-	637214	638677	104.760979	44.264416	92.181717
AT1G02880	AT1G02880	Chr1	-	642752	644903	23.402952	13.706971	28.545099
AT1G02900	AT1G02900	Chr1	-	653765	654343	1.395509	0.589641	1.227942
AT1G02890	AT1G02890	Chr1	-	645092	651907	27.711569	11.708906	24.384079
AT1G02910	AT1G02910	Chr1	-	655577	658148	62.793396	26.531950	55.253429
AT1G02940	AT1G02940	Chr1	-	663079	664128	0.837049	0.353676	0.736540
AT1G02950	AT1G02950	Chr1	-	665152	666452	3.807527	1.640753	3.416907
AT1G02952	AT1G02952	Chr1	+	665354	666367	0.000000	0.000000	0.000000
AT1G02920	AT1G02920	Chr1	-	658657	659771	1.503603	0.635314	1.323058
AT1G02930	AT1G02930	Chr1	-	661177	662456	37.459816	16.500359	34.362396
AT1G02780	AT1G02780	Chr1	-	607808	609465	2906.919922	1228.254150	2557.869141
AT1G02960	AT1G02960	Chr1	-	666872	669837	31.241537	13.927859	29.005104
AT1G02970	AT1G02970	Chr1	+	673306	676378	21.462170	9.068361	18.885082
AT1G02990	AT1G02990	Chr1	-	681396	687315	11.970375	5.121341	10.665318
AT1G03000	AT1G03000	Chr1	-	687890	692560	25.073465	10.594234	22.062750
AT1G03050	AT1G03050	Chr1	+	707726	710041	0.000000	0.000000	0.000000
AT1G03055	AT1G03055	Chr1	-	710018	711803	4.052783	1.921785	4.002164
AT1G03030	AT1G03030	Chr1	+	701478	703864	28.991447	12.249690	25.510277
AT1G03040	AT1G03040	Chr1	-	703906	706631	78.860237	33.386089	69.527336
AT1G03070	AT1G03070	Chr1	+	729901	731557	0.860708	0.374714	0.780352
AT1G03080	AT1G03080	Chr1	-	731611	738056	18.969145	8.014990	16.691408
AT1G03090	AT1G03090	Chr1	+	739679	744184	19.648050	8.301847	17.288795
AT1G03100	AT1G03100	Chr1	-	743885	746479	0.000000	0.000000	0.000000
AT1G03060	AT1G03060	Chr1	-	712473	726891	9.838020	4.156837	8.656712
AT1G03110	AT1G03110	Chr1	+	749246	751963	46.170654	19.508383	40.626682
AT1G03170	AT1G03170	Chr1	+	769632	770684	0.951567	0.402063	0.837307
AT1G03180	AT1G03180	Chr1	+	773411	775344	27.136425	14.338909	29.861126
AT1G03160	AT1G03160	Chr1	+	761282	766158	39.379673	17.041887	35.490143
AT1G03120	AT1G03120	Chr1	+	752271	753140	3.211254	1.356844	2.825660
AT1G03130	AT1G03130	Chr1	-	753307	754198	666.704895	281.701294	586.649780
AT1G03140	AT1G03140	Chr1	-	754371	756303	6.073935	2.566406	5.344603
AT1G03150	AT1G03150	Chr1	+	756414	758612	38.191391	16.136921	33.605530
AT1G03190	AT1G03190	Chr1	+	775527	780062	15.870290	7.154802	14.900049
AT1G03200	AT1G03200	Chr1	+	780602	781285	0.711364	0.300571	0.625946
AT1G03210	AT1G03210	Chr1	+	782948	784240	30.927446	13.067703	27.213808
AT1G03250	AT1G03250	Chr1	-	793353	795376	30.542395	13.191678	27.471991
AT1G03260	AT1G03260	Chr1	-	795532	798463	14.336744	6.057672	12.615248
AT1G03220	AT1G03220	Chr1	+	787122	788651	0.000000	0.000000	0.000000
AT1G03230	AT1G03230	Chr1	+	790091	791592	0.000000	0.000000	0.000000
AT1G03240	AT1G03240	Chr1	-	792222	792986	0.708273	0.299265	0.623227
AT1G03270	AT1G03270	Chr1	+	799191	802436	13.113432	5.540789	11.538826
AT1G03280	AT1G03280	Chr1	+	803035	807066	59.291412	25.052265	52.171947
AT1G03290	AT1G03290	Chr1	+	807361	810868	6.028030	2.789253	5.808688
AT1G03300	AT1G03300	Chr1	-	811033	813086	20.074057	8.481845	17.663649
AT1G03320	AT1G03320	Chr1	+	817027	817767	1.182504	0.499641	1.040514
AT1G03310	AT1G03310	Chr1	+	813471	816749	3.223251	1.371360	2.855891
AT1G03330	AT1G03330	Chr1	-	817983	819563	162.864334	68.814697	143.308273
AT1G03340	AT1G03340	Chr1	+	819662	821317	5.534061	2.338294	4.869554
AT1G03350	AT1G03350	Chr1	-	822638	824393	48.750568	20.598467	42.896805
AT1G03360	AT1G03360	Chr1	+	824537	826358	37.864098	15.998631	33.317535
AT1G03365	AT1G03365	Chr1	+	826569	830383	21.862658	9.237579	19.237482
AT1G03400	AT1G03400	Chr1	-	842747	844190	0.490291	0.207162	0.431419
AT1G03370	AT1G03370	Chr1	+	830627	835361	11.091802	4.686594	9.759945
AT1G03380	AT1G03380	Chr1	+	835785	840940	8.807610	3.721459	7.750029
AT1G03430	AT1G03430	Chr1	+	847873	849500	21.385365	9.035910	18.817499
AT1G03445	AT1G03445	Chr1	-	854410	859701	0.322236	0.136154	0.283543
AT1G03440	AT1G03440	Chr1	+	852366	854032	0.000000	0.000000	0.000000
AT1G03410	AT1G03410	Chr1	-	844436	847683	20.777508	8.779073	18.282633
AT1G03420.1	AT1G03420.1	Chr1	+	846664	847739	0.000000	0.000000	0.000000
AT1G03457	AT1G03457	Chr1	-	860788	864125	25.409235	10.950541	22.804764
AT1G03470	AT1G03470	Chr1	-	865915	867733	64.196495	28.458267	59.265030
AT1G03502	AT1G03502	Chr1	-	875358	875471	0.000000	0.000000	0.000000
AT1G03510	AT1G03510	Chr1	-	876258	877547	0.000000	0.000000	0.000000
AT1G03495	AT1G03495	Chr1	+	873184	874935	18.154621	7.670831	15.974691
AT1G03520	AT1G03520	Chr1	-	877862	880158	10.025245	4.235944	8.821456
AT1G03475	AT1G03475	Chr1	-	869051	871211	175.638962	74.212326	154.548981
AT1G03530	AT1G03530	Chr1	-	880496	883391	1.132449	0.478491	0.996469
AT1G03580	AT1G03580	Chr1	+	892847	894052	0.415423	0.175528	0.365541
AT1G03560	AT1G03560	Chr1	-	890156	892410	15.059423	6.363024	13.251151
AT1G03540	AT1G03540	Chr1	+	883782	885611	0.000000	0.000000	0.000000
AT1G03550	AT1G03550	Chr1	-	885623	887956	6.595723	2.786876	5.803736
AT1G03545	AT1G03545	Chr1	+	885941	887906	6.790888	2.869339	5.975467
AT1G03590	AT1G03590	Chr1	-	894254	897518	35.190151	14.868815	30.964666
AT1G03620	AT1G03620	Chr1	-	904319	906186	0.798837	0.337531	0.702916
AT1G03610	AT1G03610	Chr1	+	900887	903003	15.232153	6.436007	13.403139
AT1G03600	AT1G03600	Chr1	+	898876	899655	0.000000	0.000000	0.000000
AT1G03660	AT1G03660	Chr1	-	911436	911759	0.000000	0.000000	0.000000
AT1G03650	AT1G03650	Chr1	-	910023	911193	17.333542	7.323902	15.252203
AT1G03630	AT1G03630	Chr1	+	907642	909376	304.367706	128.720718	268.063995
AT1G03710	AT1G03710	Chr1	+	923426	924726	2.322000	1.025192	2.134988
AT1G03680	AT1G03680	Chr1	-	916819	918064	137.929825	58.279171	121.367790
AT1G03687	AT1G03687	Chr1	+	918299	920507	29.174675	13.053763	27.184778
AT1G03730	AT1G03730	Chr1	-	930828	931895	0.000000	0.000000	0.000000
AT1G03743	AT1G03743	Chr1	-	937207	937287	0.000000	0.000000	0.000000
AT1G03746	AT1G03746	Chr1	-	937401	937485	0.000000	0.000000	0.000000
AT1G03740	AT1G03740	Chr1	+	933512	937043	11.138153	4.814045	10.025367
AT1G03750	AT1G03750	Chr1	+	937920	941162	5.845621	2.469937	5.143703
AT1G03760	AT1G03760	Chr1	-	941062	943377	24.811504	10.483549	21.832245
AT1G03800	AT1G03800	Chr1	-	957261	957998	0.000000	0.000000	0.000000
AT1G03820	AT1G03820	Chr1	-	959869	960728	8.258140	3.489293	7.266537
AT1G03840	AT1G03840	Chr1	-	967503	970130	1.900949	0.803204	1.672691
AT1G03850	AT1G03850	Chr1	-	976097	977761	0.260701	0.132259	0.275432
AT1G03770	AT1G03770	Chr1	+	944572	947483	14.166677	6.151495	12.810637
AT1G03780	AT1G03780	Chr1	-	947520	951827	76.132874	36.652016	76.328712
AT1G03830	AT1G03830	Chr1	-	962016	966757	12.865155	5.475600	11.403069
AT1G03870	AT1G03870	Chr1	-	982506	983540	9.545894	4.033405	8.399663
AT1G03860	AT1G03860	Chr1	-	979308	981885	169.425034	87.616432	182.463318
AT1G03905	AT1G03905	Chr1	+	993400	995784	6.086328	2.571642	5.355507
AT1G03900	AT1G03900	Chr1	+	991139	993118	100.117691	42.302502	88.095978
AT1G03920	AT1G03920	Chr1	+	1001321	1004383	0.726185	0.306833	0.638988
AT1G03910	AT1G03910	Chr1	+	996115	1000437	57.426037	28.113596	58.547241
AT1G03930	AT1G03930	Chr1	+	1004769	1008370	31.278233	13.215920	27.522474
AT1G03935	AT1G03935	Chr1	+	1008810	1008896	0.000000	0.000000	0.000000
AT1G03940	AT1G03940	Chr1	-	1009542	1011056	0.000000	0.000000	0.000000
AT1G03950	AT1G03950	Chr1	-	1011172	1013365	5.882236	2.485408	5.175922
AT1G03960	AT1G03960	Chr1	+	1013715	1017929	16.270298	7.147011	14.883823
AT1G03970	AT1G03970	Chr1	+	1018100	1019247	20.238863	8.551480	17.808664
AT1G03980	AT1G03980	Chr1	-	1018570	1022108	3.239521	1.368787	2.850533
AT1G03990	AT1G03990	Chr1	+	1024847	1027616	2.044194	0.863729	1.798736
AT1G04000	AT1G04000	Chr1	-	1028106	1029119	0.000000	0.000000	0.000000
AT1G04010	AT1G04010	Chr1	-	1031200	1036237	10.378952	4.385395	9.132691
AT1G04020	AT1G04020	Chr1	+	1036537	1040224	53.702473	22.736145	47.348572
AT1G04070	AT1G04070	Chr1	-	1050553	1051186	0.000000	0.000000	0.000000
AT1G04050	AT1G04050	Chr1	-	1045598	1049297	8.131588	3.435822	7.155181
AT1G04030	AT1G04030	Chr1	+	1040383	1042892	12.413868	5.245203	10.923263
AT1G04040	AT1G04040	Chr1	-	1042362	1043864	83.731422	35.378849	73.677307
AT1G04090	AT1G04090	Chr1	+	1057151	1059419	1.502799	0.634974	1.322349
AT1G04100	AT1G04100	Chr1	+	1059506	1061191	2.553430	1.078895	2.246825
AT1G04110	AT1G04110	Chr1	-	1061457	1063784	0.000000	0.000000	0.000000
AT1G04080	AT1G04080	Chr1	+	1051312	1056827	122.735741	62.949047	131.092911
AT1G04120	AT1G04120	Chr1	-	1064450	1071047	25.682653	11.106627	23.129820
AT1G04150	AT1G04150	Chr1	-	1081208	1084246	0.000000	0.000000	0.000000
AT1G04160	AT1G04160	Chr1	+	1086495	1096146	12.311934	5.202134	10.833569
AT1G04130	AT1G04130	Chr1	+	1073427	1075568	30.033957	12.690180	26.427605
AT1G04140	AT1G04140	Chr1	-	1075543	1080630	60.573620	25.711126	53.544044
AT1G04170	AT1G04170	Chr1	+	1096946	1099898	169.447311	71.596184	149.100800
AT1G04190	AT1G04190	Chr1	-	1106428	1108715	120.352684	50.852348	105.901245
AT1G04200	AT1G04200	Chr1	+	1109482	1114107	29.956358	12.657391	26.359324
AT1G04250	AT1G04250	Chr1	+	1136258	1138613	9.351426	3.951237	8.228546
AT1G04230	AT1G04230	Chr1	+	1125518	1128168	15.154798	6.403322	13.335073
AT1G04240	AT1G04240	Chr1	-	1128188	1129551	10.362904	4.378614	9.118570
AT1G04260	AT1G04260	Chr1	-	1140528	1141365	0.000000	0.000000	0.000000
AT1G04210	AT1G04210	Chr1	+	1114405	1119739	49.504646	20.917086	43.560337
AT1G04220	AT1G04220	Chr1	-	1119699	1122526	11.214847	4.738584	9.868216
AT1G04280	AT1G04280	Chr1	-	1143436	1146654	22.482859	9.499631	19.783211
AT1G04290	AT1G04290	Chr1	-	1147523	1148533	22.121525	9.346958	19.465265
AT1G04295	AT1G04295	Chr1	+	1147781	1148435	1.169688	0.494226	1.029237
AT1G04310	AT1G04310	Chr1	-	1154764	1157711	5.437247	2.297388	4.784365
AT1G04330	AT1G04330	Chr1	-	1161311	1161982	0.247024	0.104374	0.217362
AT1G04300	AT1G04300	Chr1	-	1148597	1154652	21.492432	9.732782	20.268753
AT1G04340	AT1G04340	Chr1	-	1163097	1164851	55.747498	23.554863	49.053570
AT1G04350	AT1G04350	Chr1	+	1165165	1166768	11.394737	4.814592	10.026505
AT1G04380	AT1G04380	Chr1	-	1176921	1178407	0.070756	0.029896	0.062260
AT1G04360	AT1G04360	Chr1	-	1167457	1168878	0.000000	0.000000	0.000000
AT1G04390	AT1G04390	Chr1	-	1179363	1183704	11.715216	4.950003	10.308501
AT1G04270	AT1G04270	Chr1	-	1141604	1143053	1120.243530	473.467712	986.007874
AT1G04400	AT1G04400	Chr1	-	1185550	1188517	81.447945	35.369160	73.657135
AT1G04420	AT1G04420	Chr1	+	1191608	1193884	101.484993	42.880222	89.299103
AT1G04410	AT1G04410	Chr1	-	1189078	1191412	553.918030	234.045715	487.405884
AT1G04425	AT1G04425	Chr1	+	1194187	1196889	72.839554	30.776731	64.093285
AT1G04457	AT1G04457	Chr1	-	1210319	1210549	0.874459	0.369483	0.769458
AT1G04430	AT1G04430	Chr1	+	1198118	1201527	93.004143	43.982689	91.595024
AT1G04440	AT1G04440	Chr1	+	1202255	1205803	21.387320	9.036736	18.819221
AT1G04490	AT1G04490	Chr1	-	1217948	1220137	0.124691	0.052947	0.110263
AT1G04480	AT1G04480	Chr1	+	1216095	1217467	1519.088989	641.857178	1336.683228
AT1G04510	AT1G04510	Chr1	+	1226575	1230827	138.156387	58.551704	121.935349
AT1G04520	AT1G04520	Chr1	+	1231578	1234032	51.759529	21.869837	45.544460
AT1G04540	AT1G04540	Chr1	+	1237256	1239061	0.000000	0.000000	0.000000
AT1G04530	AT1G04530	Chr1	-	1234176	1236034	74.729042	31.575094	65.755890
AT1G04555	AT1G04555	Chr1	+	1242558	1244244	10.079873	4.259026	8.869524
AT1G04580	AT1G04580	Chr1	-	1252122	1257510	0.293616	0.124061	0.258360
AT1G04550	AT1G04550	Chr1	+	1240375	1242121	28.691998	13.512890	28.140919
